,Unnamed: 0,ep_num,air_date,round_name,coord,category,value,daily_double,question,answer,correct_attempts,wrong_attempts,value_tuple,value_num,difficulty,topic_cluster,topic_name,human_score
53,60588,7745,2018-04-20,Double Jeopardy,"(6, 1)",BEFORE & AFTER,"(400,)",False,Mouselike boy in an E.B. White story traveling through the heavens as Ursa Minor,Stuart Little Dipper,1.0,0.0,"(400,)",400.0,easy,12,History & World Leaders,1
54,47756,7531,2017-05-15,Jeopardy,"(1, 1)",LESSEN PLAN,"(200,)",False,"""Bacon & Butter"" gives recipes that follow a ketogenic diet, one that by definition is high in fat & low in these",carbs,1.0,0.0,"(200,)",200.0,easy,12,History & World Leaders,1
55,19894,2930,1997-05-02,Jeopardy,"(3, 4)",THE GRAMMYS,"(400,)",False,"With good reason, her ""Give Me One Reason"" won the award for Best Rock Song",Tracy Chapman,0.0,3.0,"(400,)",400.0,easy,18,Animals & Natural World,0
56,6945,2621,1996-01-15,Jeopardy,"(5, 1)",THE 1840s,"(100,)",False,"In 1846, about 4,000 U.S. soldiers were posted on alert near this North American country",Mexico,1.0,1.0,"(100,)",100.0,easy,10,Science & Academia,0
57,15377,2852,1997-01-14,Jeopardy,"(4, 2)",MUSIC,"(200,)",False,"In the musical styles of this island, reggae came after ska & rock steady, mon",Jamaica,1.0,0.0,"(200,)",200.0,easy,18,Animals & Natural World,1
58,17409,2885,1997-02-28,Double Jeopardy,"(4, 2)",SCIENCE,"(400,)",False,"This ""project"" to develop a fission bomb was established in August 1942",The Manhattan Project,1.0,0.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",1
59,18531,2906,1997-03-31,Jeopardy,"(5, 4)",UNDERGARMENTS,"(400,)",False,It's a tight constrainer for hernia sufferers,Truss,1.0,1.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",0
60,55826,7665,2017-12-29,Jeopardy,"(1, 1)",PAINT THE TOWN RED,"(200,)",False,Ruddy Spasskaya Tower adorns this Moscow fortress that has come to represent Russia's executive branch,the Kremlin,1.0,0.0,"(200,)",200.0,easy,3,Food & Cuisine,1
61,22355,2970,1997-06-27,Jeopardy,"(2, 2)",EDDIE MURPHY MOVIES,"(200,)",False,"He played the man with whom Eddie Murphy traded places in ""Trading Places""",Dan Aykroyd,1.0,0.0,"(200,)",200.0,easy,13,Trivia & Famous People,1
62,26224,4183,2002-11-06,Jeopardy,"(2, 2)",HOW NOVEL,"(400,)",False,"He not only appeared on the cover of some 350 romance novels, he's written ones like ""Rogue"" & ""Mysterious""",Fabio,1.0,0.0,"(400,)",400.0,easy,6,Performing Arts,1
63,61763,7765,2018-05-18,Jeopardy,"(2, 2)",PLANT ILLNESSES,"(400,)",False,"Black spot does what its name suggests, most commonly to the leaves of these beloved flowers' bushes",roses,1.0,0.0,"(400,)",400.0,easy,7,American Pop Culture,1
64,13941,2828,1996-12-11,Jeopardy,"(6, 1)","""OUT OF   ""","(100,)",False,Sign for a broken soda machine,Out of order,1.0,0.0,"(100,)",100.0,easy,8,Word Games,1
65,22354,2970,1997-06-27,Jeopardy,"(1, 2)",FORESTS,"(200,)",False,The fossilized trees in this Arizona site date back to the Triassic period,Petrified Forest,1.0,0.0,"(200,)",200.0,easy,9,Inventions & Notable Names,1
66,25365,4169,2002-10-17,Jeopardy,"(1, 1)",THE ARABIAN NIGHTS,"(200,)",False,He picked up the transparent fruit of different colors on the way back from getting the wonderful lamp,Aladdin,1.0,0.0,"(200,)",200.0,easy,13,Trivia & Famous People,1
67,30741,4258,2003-02-19,Jeopardy,"(1, 1)",A CAPITAL IDEA,"(200,)",False,(Sofia of the Clue Crew in Albuquerque)  Andre Garnerin made the first parachute jump from a balloon in 1797 when he jumped over this capital city,Paris,1.0,2.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",0
68,19825,2929,1997-05-01,Jeopardy,"(4, 2)",WORLD LEADERS,"(200,)",False,In December 1996 Kofi Annan of Ghana was elected secretary-general of this organization,United Nations,1.0,0.0,"(200,)",200.0,easy,2,"Politics, Government & Industry",1
69,3871,370,1986-02-07,Jeopardy,"(3, 1)","""TIME""LY SONGS","(100,)",False,"""You must remember this"", the theme song for ""Casablanca""","""As Time Goes By""",1.0,0.0,"(100,)",100.0,easy,18,Animals & Natural World,1
70,18823,2911,1997-04-07,Jeopardy,"(6, 3)",SYSTEMS OF THE BODY,"(300,)",False,"Trachea,bronchi,lungs",respiratory,1.0,0.0,"(300,)",300.0,easy,5,"Mythology, Literature & Wordplay",1
71,45198,7488,2017-03-15,Jeopardy,"(2, 1)",BASIC GEOGRAPHY,"(200,)",False,"This northeast African river flows for more than 4,100 miles",the Nile,1.0,0.0,"(200,)",200.0,easy,1,"Dates, Time & Numbers",1
72,30714,4257,2003-02-18,Double Jeopardy,"(4, 1)",THAT GOOD OLD '60s ROCK & ROLL,"(400,)",False,"Bassist Jack Bruce wrote most of Cream's material, but this guitarist co-wrote ""Sunshine of Your Love""",Eric Clapton,1.0,0.0,"(400,)",400.0,easy,18,Animals & Natural World,1
73,4177,375,1986-02-14,Double Jeopardy,"(5, 1)",SPORTS HISTORY,"(200,)",False,"An archer splitting a competitor's arrow embedded in target is called this, after English outlaw",a Robin Hood,1.0,0.0,"(200,)",200.0,easy,15,Literature & Language,1
74,24583,4156,2002-09-30,Jeopardy,"(1, 2)","""O"" WHEREFORE ART THOU?","(400,)",False,"It's the island where you'll find Iolani Palace, once home to Hawaii's monarchs",Oahu,1.0,0.0,"(400,)",400.0,easy,8,Word Games,1
75,21634,2958,1997-06-11,Jeopardy,"(2, 3)",U.S. CITIES,"(300,)",False,Thomas Jefferson formulated the bill moving the Virginia capital to this city,Richmond,1.0,0.0,"(300,)",300.0,easy,3,Food & Cuisine,1
76,5989,2583,1995-11-22,Jeopardy,"(2, 4)",FISH,"(400,)",False,These aggressive aquarium fish are native to Thailand's clear but weedy waters,Fighting fish,1.0,0.0,"(400,)",400.0,easy,9,Inventions & Notable Names,1
77,39901,7400,2016-11-11,Jeopardy,"(2, 1)",ENTERTAINING ANIMALS,"(200,)",False,"Vinicius, the mascot of the 2016 Summer Olympics hosted by this city, is a mixture of all the Brazilian animals",Rio de Janeiro,1.0,0.0,"(200,)",200.0,easy,9,Inventions & Notable Names,1
78,18570,2907,1997-04-01,Jeopardy,"(1, 1)",BUY A VOWEL,"(100,)",False,"This ""A"" word means to relinquish power or give up the throne",abdicate,1.0,0.0,"(100,)",100.0,easy,19,20th Century History & Pop Culture,1
79,5809,2580,1995-11-17,Jeopardy,"(5, 4)",RIVERS,"(400,)",False,"In April of 1862, David Farragut ordered his fleet up this river",Mississippi River,1.0,0.0,"(400,)",400.0,easy,3,Food & Cuisine,1
80,11817,2782,1996-10-08,Double Jeopardy,"(3, 2)",TELEVISION HISTORY,"(400,)",False,This Fred MacMurray series ran 5 seasons on ABC & 7 more on CBS,My Three Sons,1.0,0.0,"(400,)",400.0,easy,0,Movies & Film,1
81,48899,7550,2017-06-09,Jeopardy,"(2, 2)",GERMAN HISTORY,"(400,)",False,"In June 1948 the Soviet Union began a rail, road & canal blockade of this city; Allied supplies had to be delivered by air",Berlin,1.0,0.0,"(400,)",400.0,easy,10,Science & Academia,1
82,5517,2575,1995-11-10,Double Jeopardy,"(1, 1)",THE HUMAN BODY,"(200,)",False,"The body's 3 major types of blood vessels are the arteries, capillaries & these",veins,1.0,0.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",1
83,3529,351,1986-01-13,Jeopardy,"(5, 1)",THE 1950s,"(100,)",False,1951 saw the first electric power ever generated from this source,nuclear energy,1.0,0.0,"(100,)",100.0,easy,17,Religion,1
84,61090,7754,2018-05-03,Jeopardy,"(5, 1)","10,000 MANIAC","(200,)",False,"10,000 can be written as 10 to this power",the 4th,1.0,0.0,"(200,)",200.0,easy,12,History & World Leaders,1
85,3961,371,1986-02-10,Double Jeopardy,"(1, 2)",ANCIENT HISTORY,"(400,)",False,A runner ran 25 miles & died after announcing Greeks had defeated them in the Battle of Marathon,the Persians,0.0,3.0,"(400,)",400.0,easy,11,"Water, Transport & Landforms",0
86,61576,7762,2018-05-15,Jeopardy,"(4, 1)",IT'S ONLY AN ALLUSION,"(200,)",False,"A source of perpetual vigor; legend has it that Alexander the Great found one, but Ponce de Leon did not",the fountain of youth,1.0,0.0,"(200,)",200.0,easy,8,Word Games,1
87,904,56,1984-11-26,Jeopardy,"(6, 1)",TRIVIA,"(100,)",False,At last count there were only 70 of these head servants left in England,butlers,0.0,3.0,"(100,)",100.0,easy,17,Religion,0
88,419,12,1984-09-25,Jeopardy,"(6, 1)","BEGINS WITH ""L""","(100,)",False,"Erich Segal's ""story""",Love Story,1.0,0.0,"(100,)",100.0,easy,19,20th Century History & Pop Culture,1
89,39669,7396,2016-11-07,Jeopardy,"(1, 2)",WHAT'S YOUR MOVIE OCCUPATION?,"(400,)",False,"Johnny Depp in ""Sweeney Todd..."" (we'd give it away with the full title)",a barber,1.0,0.0,"(400,)",400.0,easy,13,Trivia & Famous People,1
90,314,10,1984-09-21,Jeopardy,"(4, 1)",SHIPS,"(100,)",False,"""Unsinkable"" for most of its maiden voyage in 1912",the Titanic,1.0,0.0,"(100,)",100.0,easy,5,"Mythology, Literature & Wordplay",1
91,1742,110,1985-02-08,Jeopardy,"(4, 1)",MOVIES,"(100,)",False,"Subtitled ""The Search for Spock""",Star Trek III,1.0,0.0,"(100,)",100.0,easy,13,Trivia & Famous People,1
92,15863,2861,1997-01-27,Jeopardy,"(6, 3)",TV THEME SONGS,"(300,)",False,"""Just sit right back and you'll hear a tale""",Gilligan\'s Island,1.0,0.0,"(300,)",300.0,easy,18,Animals & Natural World,1
93,57657,7695,2018-02-09,Double Jeopardy,"(2, 1)",ISLAND NATIONS,"(400,)",False,Cyprus is the legendary home of this Greek goddess of love,Aphrodite,1.0,1.0,"(400,)",400.0,easy,1,"Dates, Time & Numbers",0
94,12973,2812,1996-11-19,Jeopardy,"(5, 1)",ANIMALS,"(100,)",False,The largest of the seals is named for this largest land animal,elephant,1.0,0.0,"(100,)",100.0,easy,9,Inventions & Notable Names,1
95,8770,2685,1996-04-12,Jeopardy,"(6, 3)",ANAGRAMS,"(300,)",False,Lois painted a lovely picture of this barnyard structure in oils,Silo (Lois & Oils),1.0,0.0,"(300,)",300.0,easy,14,World Regions & Capitals,1
96,54203,7637,2017-11-21,Double Jeopardy,"(6, 1)",NETFLIX & SPELL,"(400,)",False,"Last name of the science guy who ""Saves the World"" on Netflix",N-Y-E,1.0,0.0,"(400,)",400.0,easy,0,Movies & Film,1
97,867,21,1984-10-08,Jeopardy,"(2, 3)",BOATS,"(300,)",False,"A flat-bottomed boat propelled by a pole, or a 4th down football play",punt,1.0,0.0,"(300,)",300.0,easy,5,"Mythology, Literature & Wordplay",1
98,14414,2836,1996-12-23,Jeopardy,"(3, 1)",AWARDS,"(100,)",False,"At the 1996 People's Choice Awards, this ""Apollo 13"" star received 2 awards for favorite actor",Tom Hanks,1.0,0.0,"(100,)",100.0,easy,2,"Politics, Government & Industry",1
99,57280,7689,2018-02-01,Jeopardy,"(6, 1)",EASY COURSE LOAD,"(200,)",False,"Half a deviled egg with crispy bacon serves as this light appetizer from the French for ""mouth pleaser""",amuse-bouche,1.0,0.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",1
100,21715,2959,1997-06-12,Double Jeopardy,"(4, 1)",GOVERNMENT & POLITICS,"(200,)",False,This body of Congress has the power to draw up impeachment charges against federal officials,the House of Representatives,1.0,0.0,"(200,)",200.0,easy,4,"Nature, Geography & Earth Science",1
101,13047,2813,1996-11-20,Jeopardy,"(6, 3)","CROSSWORD CLUES ""R""","(300,)",False,Knee jerk           (6),Reflex,1.0,0.0,"(300,)",300.0,easy,19,20th Century History & Pop Culture,1
102,56005,7668,2018-01-03,Jeopardy,"(1, 2)",DIETS,"(400,)",False,"Elisabeth Hasselbeck wrote ""The G-Free Diet"", a survival guide to being free of this G",gluten,1.0,0.0,"(400,)",400.0,easy,7,American Pop Culture,1
103,5175,2543,1995-09-27,Jeopardy,"(2, 3)",COLORS,"(300,)",False,"It's the ""flowery"" color of Elizabeth Taylor's eyes",violet,1.0,0.0,"(300,)",300.0,easy,5,"Mythology, Literature & Wordplay",1
104,37924,7367,2016-09-27,Double Jeopardy,"(6, 1)","IT'S EASY AS ""A_B_C_D""","(400,)",False,This interjection is pure magic,abracadabra,1.0,0.0,"(400,)",400.0,easy,19,20th Century History & Pop Culture,1
105,50032,7569,2017-07-06,Jeopardy,"(1, 1)",A REAL NUT JOB,"(200,)",False,"Natives along the Amazon basin collect these, AKA para nuts, which are later used in soaps or as food",Brazil nuts,1.0,0.0,"(200,)",200.0,easy,12,History & World Leaders,1
106,52368,7607,2017-10-10,Jeopardy,"(3, 1)",2017 MOVIE TAGLINES,"(200,)",False,"""Experience the tale as old as time""",Beauty and the Beast,1.0,0.0,"(200,)",200.0,easy,13,Trivia & Famous People,1
107,43878,7465,2017-02-10,Double Jeopardy,"(1, 1)",KHAN MEN,"(400,)",False,"Pashtun leader & nonviolence advocated Abdul Ghaffar Khan was known as the ""frontier"" this man whom he'd advised",Mahatma Gandhi,0.0,3.0,"(400,)",400.0,easy,2,"Politics, Government & Industry",0
108,58894,7717,2018-03-13,Jeopardy,"(3, 1)",IT'S TRADEMARKED,"(200,)",False,German shepherds & Labrador & golden retrievers are specially bred to serve as these guide dogs for the blind,Seeing Eye dogs,1.0,0.0,"(200,)",200.0,easy,19,20th Century History & Pop Culture,1
109,44632,7478,2017-03-01,Jeopardy,"(2, 1)",HEALTH & MEDICINE,"(200,)",False,Adult this is defined as having a body mass index of 30.0 or higher,obesity,1.0,0.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",1
110,15981,2863,1997-01-29,Jeopardy,"(2, 3)",FOOD & DRINK,"(300,)",False,"In China, this dish of fried egg & vegetable patties is never served with sauce",egg foo yung,0.0,3.0,"(300,)",300.0,easy,7,American Pop Culture,0
111,7979,2669,1996-03-21,Jeopardy,"(4, 3)",ANIMALS,"(300,)",False,"A female one of the gypsy species of this insect can lay over 1,000 eggs at one time",Moth,1.0,0.0,"(300,)",300.0,easy,9,Inventions & Notable Names,1
112,21948,2963,1997-06-18,Jeopardy,"(6, 4)","NUMBER, PLEASE","(400,)",False,There are currently this many men on the U.S. Supreme Court,7,1.0,0.0,"(400,)",400.0,easy,12,History & World Leaders,1
113,21418,2955,1997-06-06,Double Jeopardy,"(4, 2)",MARLON BRANDO FILMS,"(400,)",False,"In this 1996 film based on an H.G. Wells novel, Brando plays the title role of a mad scientist",The Island of Dr. Moreau,1.0,0.0,"(400,)",400.0,easy,13,Trivia & Famous People,1
